Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
43878,CA-2014-6280,20/10/2014,22/10/2014,First Class,JD-5895,Jonathan Doherty,Corporate,Mississauga,Ontario,Canada,Canada,Canada,FUR-BUS-10002639,Furniture,Bookcases,"Bush Corner Shelving, Mobile",253.02,2,0,106.26, 76.25 ,Critical
43876,CA-2014-6280,20/10/2014,22/10/2014,First Class,JD-5895,Jonathan Doherty,Corporate,Mississauga,Ontario,Canada,Canada,Canada,TEC-STA-10004181,Technology,Machines,"StarTech Inkjet, Durable",300.18,1,0,33, 95.49 ,Critical
43881,CA-2014-6280,20/10/2014,22/10/2014,First Class,JD-5895,Jonathan Doherty,Corporate,Mississauga,Ontario,Canada,Canada,Canada,OFF-CUI-10000105,Office Supplies,Appliances,"Cuisinart Microwave, Black",277.89,1,0,13.89, 72.60 ,Critical
46236,CA-2014-1450,11/02/2014,14/02/2014,First Class,DM-3525,Don Miller,Corporate,Winnipeg,Manitoba,Canada,Canada,Canada,OFF-ROG-10002132,Office Supplies,Storage,"Rogers Lockers, Industrial",212.1,1,0,80.58, 65.35 ,Critical
47014,CA-2013-8360,01/11/2013,03/11/2013,First Class,ES-4020,Erica Smith,Consumer,London,Ontario,Canada,Canada,Canada,FUR-IKE-10004160,Furniture,Bookcases,"Ikea Stackable Bookrack, Traditional",735.48,6,0,271.98, 72.34 ,High
42900,CA-2013-170,02/09/2013,04/09/2013,First Class,CC-2220,Chris Cortes,Consumer,Toronto,Ontario,Canada,Canada,Canada,FUR-BEV-10004919,Furniture,Tables,"Bevis Wood Table, with Bottom Storage",533.61,1,0,170.73, 133.38 ,Critical
45849,CA-2013-9950,20/08/2013,22/08/2013,First Class,TC-11295,Toby Carlisle,Consumer,Montréal,Quebec,Canada,Canada,Canada,TEC-SAM-10000779,Technology,Phones,"Samsung Signal Booster, Cordless",557.76,4,0,228.6, 149.13 ,High
41402,CA-2013-9860,28/06/2013,30/06/2013,First Class,NF-8385,Natalie Fritzler,Consumer,Montréal,Quebec,Canada,Canada,Canada,TEC-KON-10002194,Technology,Machines,"Konica Printer, White",266.25,1,0,79.86, 98.72 ,Critical
45096,CA-2012-8790,07/07/2012,09/07/2012,First Class,RH-9600,Rob Haberlin,Consumer,Vancouver,British Columbia,Canada,Canada,Canada,OFF-BRE-10002706,Office Supplies,Appliances,"Breville Microwave, White",1799.1,6,0,593.64, 274.75 ,High
49953,CA-2012-9170,16/04/2012,19/04/2012,First Class,CA-2055,Cathy Armstrong,Home Office,Whitby,Ontario,Canada,Canada,Canada,OFF-CUI-10000140,Office Supplies,Appliances,"Cuisinart Microwave, Silver",558.42,2,0,0, 60.80 ,Medium
44230,CA-2011-1800,01/03/2011,04/03/2011,First Class,TP-11415,Tom Prescott,Consumer,Toronto,Ontario,Canada,Canada,Canada,FUR-HAR-10001792,Furniture,Chairs,"Harbour Creations Bag Chairs, Red",246.48,4,0,105.96, 65.81 ,High
44228,CA-2011-1800,01/03/2011,04/03/2011,First Class,TP-11415,Tom Prescott,Consumer,Toronto,Ontario,Canada,Canada,Canada,OFF-FEL-10001405,Office Supplies,Storage,"Fellowes File Cart, Industrial",551.16,4,0,71.64, 164.36 ,High
46300,CA-2014-560,08/10/2014,08/10/2014,Same Day,SW-10275,Scott Williamson,Consumer,Kitchener,Ontario,Canada,Canada,Canada,FUR-HON-10001558,Furniture,Chairs,"Hon Swivel Stool, Black",967.32,6,0,270.72, 193.25 ,Medium
48286,CA-2014-7620,04/08/2014,04/08/2014,Same Day,RB-9705,Roger Barcio,Home Office,Montréal,Quebec,Canada,Canada,Canada,OFF-STA-10000155,Office Supplies,Art,"Stanley Pencil Sharpener, Water Color",111.84,4,0,4.44, 53.90 ,Critical
50480,CA-2013-3990,17/08/2013,17/08/2013,Same Day,DL-2865,Dan Lawera,Consumer,Vancouver,British Columbia,Canada,Canada,Canada,OFF-ELD-10000151,Office Supplies,Storage,"Eldon File Cart, Industrial",255.78,2,0,30.66, 65.79 ,High
47228,CA-2013-9990,21/01/2013,21/01/2013,Same Day,AB-165,Alan Barnes,Consumer,Hamilton,Ontario,Canada,Canada,Canada,OFF-BIN-10000712,Office Supplies,Art,"Binney & Smith Canvas, Blue",410.88,8,0,78, 59.79 ,High
